Segment,Source,Target,RAG adheres?,SPA obviously adheres?,SPA adheres?,Agreement?,RAG suggestion,SPA suggestion,Agreement on suggestion,RAG Terms,SPA Terms
508,"“We must protect him ourselves if he is in danger,” replied the Tin Woodman.","""Wir müssen ihn selbst beschützen, wenn er in Gefahr ist"", antwortete der Blechmann.",FALSE,TRUE,TRUE,FALSE,"""Wir müssen ihn selbst beschützen, wenn er in Gefahr ist"", antwortete der Blechholzfäller.","""Wir müssen ihn selbst beschützen, wenn er in Gefahr ist"", antwortete der Blechholzfäller.",TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | Wizard Oz → Zauberer Oz | land of the Winkies → Land der Winkies (note: see also Country of the West) | Great Oz → großen Oz | Woodman → Holzfäller | Good Witch of the North → Gute Hexe des Nordens,"1. term: ""Tin Woodman"" → preferred: ""Blechholzfäller"" (part of speech: noun) (note: proper name/capitalization — appears as title and as character name)"
509,"Just as he spoke there came from the forest a terrible roar, and the next moment a great Lion bounded into the road.","In dem Moment, als er sprach, ertönte aus dem Wald ein furchtbares Brüllen, und im nächsten Augenblick sprang ein großer Löwe auf die Straße.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Lion → Löwe | king of the forest → König des Waldes | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | king of beasts → König der Tiere | roar → brüllen | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | terrible Beast → schreckliches Biest | wild beast → wildes Tier,
510,"With one blow of his paw he sent the Scarecrow spinning over and over to the edge of the road, and then he struck at the Tin Woodman with his sharp claws.",Mit einem Prankenhieb schleuderte er die Vogelscheuche an den Straßenrand und schlug dann mit seinen scharfen Krallen nach dem Blechmann.,FALSE,TRUE,TRUE,FALSE,Mit einem Prankenhieb schleuderte er die Vogelscheuche über und über bis an den Straßenrand und schlug dann mit seinen scharfen Krallen nach dem Blechholzfäller.,Mit einem Tatzenhieb schleuderte er die Vogelscheuche an den Straßenrand und schlug dann mit seinen scharfen Krallen nach dem Blechholzfäller.,TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Scarecrow → Vogelscheuche | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Wizard Oz → Zauberer Oz | Wicked Witch of the East → Böse Hexe des Ostens | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | land of the Winkies → Land der Winkies (note: see also Country of the West),"1. term: ""paw"" → preferred: ""Tatze"" (part of speech: noun) | 2. term: ""Tin Woodman"" → preferred: ""Blechholzfäller"" (part of speech: noun) (note: proper name/capitalization — appears as title and as character name)"
511,"But, to the Lion’s surprise, he could make no impression on the tin, although the Woodman fell over in the road and lay still.","Aber zur Überraschung des Löwen konnte er keinen Eindruck auf das Blech machen, obwohl der Holzfäller auf der Straße umkippte und liegen blieb.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | king of beasts → König der Tiere | Woodman → Holzfäller | land of the Winkies → Land der Winkies (note: see also Country of the West) | king of the forest → König des Waldes | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters),
512,"Little Toto, now that he had an enemy to face, ran barking toward the Lion, and the great beast had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out:","Der kleine Toto, der nun einen Feind vor sich hatte, rannte bellend auf den Löwen zu, und das große Tier hatte sein Maul geöffnet, um den Hund zu beißen, als Dorothy, die befürchtete, dass Toto getötet werden würde, ohne auf die Gefahr zu achten, vorwärts stürmte und dem Löwen eine Ohrfeige gab, so fest sie konnte, während sie schrie:",FALSE,TRUE,TRUE,FALSE,"Der kleine Toto, der nun einen Feind vor sich hatte, rannte bellend auf den Löwen zu, und das große Tier hatte sein Maul geöffnet, um den Hund zu beißen, als Dorothy, die befürchtete, dass Toto getötet werden würde, ohne auf die Gefahr zu achten, vorwärts stürmte und dem Feigen Löwen eine Ohrfeige gab, so fest sie konnte, während sie schrie:","Der kleine Toto, der nun einen Feind vor sich hatte, rannte bellend auf den Löwen zu, und das große Tier hatte sein Maul geöffnet, um den Hund zu beißen, als Dorothy, die befürchtete, dass Toto getötet werden würde, ohne auf die Gefahr zu achten, vorwärts stürmte und dem Löwen so fest sie konnte auf die Nase schlug, während sie schrie:",FALSE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Dorothy → Dorothy | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Lion → Löwe | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | Toto → Toto,"1. term: ""nose"" → preferred: ""Nase"" (part of speech: noun)"
513,“Don’t you dare to bite Toto!,"""Wage es nicht, Toto zu beißen!",TRUE,TRUE,TRUE,TRUE,,,TRUE,Toto → Toto | kiss → Kuß (note: orthography in German text uses ß 'Kuß'; modern spelling 'Kuss') | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | terrible Beast → schreckliches Biest | growl → Knurren | dog → Hund | tiger → Tiger | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead),
514,"You ought to be ashamed of yourself, a big beast like you, to bite a poor little dog!”","Du solltest dich schämen, so eine große Bestie wie du, die einen armen kleinen Hund beißt!""",FALSE,TRUE,TRUE,FALSE,"Du solltest dich schämen, ein so großes Tier wie du, dafür, dass du einen armen kleinen Hund beißt!","Du solltest dich schämen, so ein großes Tier wie du, einen armen kleinen Hund zu beißen!",FALSE,"terrible Beast → schreckliches Biest | Beast → Bestie (note: When capitalized, refers to the shape Oz took on himself) | wild beast → wildes Tier | beast → Tier (note: General use of the word ""beast"", conrast with ""Beast"" (capitalized)) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | growl → Knurren | dog → Hund | little woman → kleine Frau","1. term: ""beast"" → preferred: ""Tier"" (part of speech: noun) (note: General use of the word ""beast"", conrast with ""Beast"" (capitalized))"
515,"“I didn’t bite him,” said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.","""Ich habe ihn nicht gebissen"", sagte der Löwe und rieb sich mit seiner Pfote die Nase, die Dorothy getroffen hatte.",TRUE,TRUE,TRUE,TRUE,,"""Ich habe ihn nicht gebissen"", sagte der Löwe und rieb sich mit seiner Tatze die Nase, die Dorothy getroffen hatte.",FALSE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | Dorothy → Dorothy | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Good Witch of the North → Gute Hexe des Nordens,"1. term: ""paw"" → preferred: ""Tatze"" (part of speech: noun)"
516,"“No, but you tried to,” she retorted.","""Nein, aber du hast es versucht"", erwiderte sie.",TRUE,TRUE,TRUE,TRUE,,,TRUE,snarl → Zähnefletschen (note: German uses a compound verb/noun to convey snarling/bared teeth) | fight → kämpfen | Wicked Witch of the West → Böse Hexe des Westens | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Aunt Em → Tante Em | laugh → Lachen | Glinda → Glinda | ventriloquist → Bauchredner,
517,“You are nothing but a big coward.”,"""Du bist nichts weiter als ein großer Feigling.""",TRUE,TRUE,TRUE,TRUE,,,TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Scarecrow → Vogelscheuche | courage → Mut | terrible Beast → schreckliches Biest | Wicked Witch of the West → Böse Hexe des Westens | King Crow → Krähenkönig | Mr. Joker → Mr. Joker | Great Oz → großen Oz,
518,"“I know it,” said the Lion, hanging his head in shame.","""Ich weiß es"", sagte der Löwe und ließ beschämt den Kopf hängen.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | king of beasts → König der Tiere | king of the forest → König des Waldes | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | terrible Beast → schreckliches Biest | roar → brüllen | King of the Monkeys → König der Affen,
519,“I’ve always known it.,"""Ich habe es immer gewusst.",TRUE,TRUE,TRUE,TRUE,,,TRUE,well-trodden path → ausgetretener Pfad | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Glinda → Glinda | Aunt Em → Tante Em | Good Witch → Guten Hexe (note: appears in German with feminine article implied; in English 'Good Witch’s kiss' = 'Kußabzeichen der Guten Hexe') | childhood → Kindheit | Great Wizard → Großer Zauberer | Great and Terrible → Große und Schreckliche,
520,But how can I help it?”,"Aber was kann ich tun?""",TRUE,TRUE,TRUE,TRUE,,,TRUE,howl → heulen (note: applies to wind sound) | Aunt Em → Tante Em | heartaches → Herzbeklemmungen | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Good Witch → Guten Hexe (note: appears in German with feminine article implied; in English 'Good Witch’s kiss' = 'Kußabzeichen der Guten Hexe') | little woman → kleine Frau | Glinda → Glinda | Boq → Boq,
521,"“I don’t know, I’m sure.","""Ich weiß es nicht, ich bin sicher.",TRUE,TRUE,TRUE,TRUE,,,TRUE,solid ground → fester Boden | secret → Geheimnis | broken → zerbrochen | dog → Hund | Chicago → Chicago | house → Haus | Lion → Löwe | queen → Königin,
522,"To think of your striking a stuffed man, like the poor Scarecrow!”","Wenn ich daran denke, dass du einen ausgestopften Mann schlägst, wie die arme Vogelscheuche!""",TRUE,TRUE,TRUE,TRUE,,,TRUE,Scarecrow → Vogelscheuche | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Great Oz → großen Oz | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | Wicked Witch of the East → Böse Hexe des Ostens | Wizard Oz → Zauberer Oz,
523,"“Is he stuffed?” asked the Lion in surprise, as he watched her pick up the Scarecrow and set him upon his feet, while she patted him into shape again.","""Ist er ausgestopft?"", fragte der Löwe erstaunt, als er sah, wie sie die Vogelscheuche aufhob und auf die Füße stellte, während sie sie wieder in Form tätschelte.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Scarecrow → Vogelscheuche | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Glinda → Glinda | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Good Witch of the North → Gute Hexe des Nordens | Lion → Löwe | Great Oz → großen Oz | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text),
524,"“Of course he’s stuffed,” replied Dorothy, who was still angry.","""Natürlich ist er ausgestopft"", antwortete Dorothy, die immer noch wütend war.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Dorothy → Dorothy | Glinda → Glinda | Aunt Em → Tante Em | Great Oz → großen Oz | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Wizard Oz → Zauberer Oz | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text),
525,"“That’s why he went over so easily,” remarked the Lion.","""Deshalb ist er auch so leicht hinübergegangen"", bemerkte der Löwe.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | king of beasts → König der Tiere | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | king of the forest → König des Waldes | Great Oz → großen Oz | land of the Winkies → Land der Winkies (note: see also Country of the West) | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text),
526,“It astonished me to see him whirl around so.,"""Es hat mich erstaunt, ihn so herumwirbeln zu sehen.",TRUE,TRUE,TRUE,TRUE,,,TRUE,whirlwind → Wirbelsturm | howl → heulen (note: applies to wind sound) | blood-curdling incidents → grauenerregenden Ereignissen | wasp’s waist → Wespentaille | knock the heels together → dreimal die Hacken zusammenzuschlagen (note: German phrasing includes 'dreimal' (three times) as part of the verb phrase) | ball of fire → Feuerkugel | house shook → Haus schwankte (note: phrase indicating house movement) | Mr. Joker → Mr. Joker,
527,Is the other one stuffed also?”,"Ist der andere auch ausgestopft?""",TRUE,TRUE,TRUE,TRUE,,,TRUE,Uncle Henry → Onkel Henry | balloon → Ballon | green egg → grünes Ei | basket → Korb | poppy bed → Mohnblumenbeet | sack → Sack (note: meant for head) | Munchkin girl → Munchkinmädchen | Lion → Löwe,
528,"“No,” said Dorothy, “he’s made of tin.”","""Nein"", sagte Dorothy, ""er ist aus Blech.""",TRUE,TRUE,TRUE,TRUE,,,TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Dorothy → Dorothy | Wizard Oz → Zauberer Oz | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Glinda → Glinda | Great Oz → großen Oz | land of the Winkies → Land der Winkies (note: see also Country of the West) | Good Witch of the North → Gute Hexe des Nordens,
529,And she helped the Woodman up again.,Und sie half dem Holzfäller wieder auf.,TRUE,TRUE,TRUE,TRUE,,,TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Woodman → Holzfäller | Good Witch of the North → Gute Hexe des Nordens | Witch of the East → Ost-Hexe | Glinda → Glinda | Wicked Witch of the East → Böse Hexe des Ostens | Witch of the North → Hexe des Nordens | Witch of the West → West-Hexe (note: German hyphenates 'West-Hexe' or 'böse West-Hexe'),
530,"“That’s why he nearly blunted my claws,” said the Lion.","""Deshalb hat er mir fast die Krallen gestutzt"", sagte der Löwe.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | king of beasts → König der Tiere | claw → Kralle (note: plural 'claws' -> 'Krallen' appears in text as plural) | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | king of the forest → König des Waldes | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | terrible Beast → schreckliches Biest,
531,“When they scratched against the tin it made a cold shiver run down my back.,"""Als sie am Blech kratzten, lief mir ein kalter Schauer über den Rücken.",TRUE,TRUE,TRUE,TRUE,,,TRUE,blood-curdling incidents → grauenerregenden Ereignissen | tinsmith’s shears → Blechschere | shriek → Kreischen (note: wind shriek translated as 'Kreischen') | tinsmith → Blechschmied | pins and needles → Nadeln und Nägel | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | knock the heels together → dreimal die Hacken zusammenzuschlagen (note: German phrasing includes 'dreimal' (three times) as part of the verb phrase) | scream → aufschrie (note: verb form in German; base 'aufschreien' used in text),
532,What is that little animal you are so tender of?”,"Was ist das für ein kleines Tier, von dem du so begeistert bist?""",TRUE,TRUE,TRUE,TRUE,,,TRUE,"little woman → kleine Frau | Lion → Löwe | Queen of the Mice → Mäusekönigin | wild beast → wildes Tier | queen of the field mice → Königin der Feldmäuse | terrible Beast → schreckliches Biest | Beast → Bestie (note: When capitalized, refers to the shape Oz took on himself) | tiger → Tiger",
533,"“He is my dog, Toto,” answered Dorothy.","""Er ist mein Hund, Toto"", antwortete Dorothy.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Dorothy → Dorothy | Toto → Toto | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Wizard Oz → Zauberer Oz | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Good Witch of the North → Gute Hexe des Nordens | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Glinda → Glinda,
534,"“Is he made of tin, or stuffed?” asked the Lion.","""Ist er aus Blech oder ausgestopft?"", fragte der Löwe.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | Great Oz → großen Oz | Scarecrow → Vogelscheuche | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz,
535,“Neither.,"""Weder noch.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Glinda → Glinda | Witch of the North → Hexe des Nordens | Omaha → Omaha | Aunt Em → Tante Em | neck → Hals | Witch of the West → West-Hexe (note: German hyphenates 'West-Hexe' or 'böse West-Hexe') | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Good Witch → Guten Hexe (note: appears in German with feminine article implied; in English 'Good Witch’s kiss' = 'Kußabzeichen der Guten Hexe'),
536,"He’s a—a—a meat dog,” said the girl.","Er ist ein Fleischhund"", sagte das Mädchen.",FALSE,TRUE,TRUE,FALSE,"„Er ist ein—ein—ein Fleischhund“, sagte das Mädchen.",,FALSE,"dog ⭢ Hund | Munchkin girl ⭢ Munchkinmädchen | china dog ⭢ Porzellanhund | Beast ⭢ Bestie (note: When capitalized, refers to the shape Oz took on himself) | growl ⭢ Knurren | beast ⭢ Tier (note: General use of the word ""beast"", conrast with ""Beast"" (capitalized)) | golden collar ⭢ goldene Halsbänder | little woman ⭢ kleine Frau","1. term: ""dog"" → preferred: ""Hund"" (part of speech: noun)"
537,“Oh!,"""Oh!",TRUE,TRUE,TRUE,TRUE,,,TRUE,Great Oz → großen Oz | Oz → Oz | Glinda → Glinda | Boq → Boq | opening → Lichtung | Wizard Oz → Zauberer Oz | Aunt Em → Tante Em | Omaha → Omaha,
538,"He’s a curious animal and seems remarkably small, now that I look at him.","Er ist ein neugieriges Tier und wirkt erstaunlich klein, wenn ich ihn mir so ansehe.",TRUE,TRUE,TRUE,TRUE,,,TRUE,dwarf → Zwerge | Lion → Löwe | little woman → kleine Frau | field mouse → Feldmaus | Munchkin → Munchkin | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | king of the forest → König des Waldes | wild beast → wildes Tier,
539,"No one would think of biting such a little thing, except a coward like me,” continued the Lion sadly.","Niemand würde auf die Idee kommen, so ein kleines Ding zu beißen, außer einem Feigling wie mir"", fuhr der Löwe traurig fort.",FALSE,TRUE,TRUE,FALSE,"„Niemand würde auf die Idee kommen, so ein kleines Ding zu beißen, außer einem Feigen Löwen wie mir“, fuhr der Löwe traurig fort.",,FALSE,Cowardly Lion ⭢ Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion ⭢ Löwe | king of beasts ⭢ König der Tiere | terrible Beast ⭢ schreckliches Biest | little woman ⭢ kleine Frau | Queen of the Mice ⭢ Mäusekönigin | king of the forest ⭢ König des Waldes | Scarecrow ⭢ Vogelscheuche,
540,"“What makes you a coward?” asked Dorothy, looking at the great beast in wonder, for he was as big as a small horse.","""Was macht dich zu einem Feigling?"", fragte Dorothy und betrachtete das große Tier verwundert, denn es war so groß wie ein kleines Pferd.",FALSE,TRUE,TRUE,FALSE,"""Was macht dich zu einem Feigen Löwen?"", fragte Dorothy und betrachtete das große Tier verwundert, denn es war so groß wie ein kleines Pferd.",,FALSE,Cowardly Lion ⭢ Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Great Oz ⭢ großen Oz | King of the Winged Monkeys ⭢ König der Geflügelten Affen (note: full title appears in German.) | Dorothy ⭢ Dorothy | The Wonderful Wizard of Oz ⭢ Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard ⭢ Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | terrible Beast ⭢ schreckliches Biest | Scarecrow ⭢ Vogelscheuche,
541,"“It’s a mystery,” replied the Lion.","""Das ist ein Rätsel"", antwortete der Löwe.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Lion → Löwe | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | king of beasts → König der Tiere | Great Oz → großen Oz | king of the forest → König des Waldes | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz,
542,“I suppose I was born that way.,"""Ich wurde wohl so geboren.",TRUE,TRUE,TRUE,TRUE,,,TRUE,childhood → Kindheit | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Munchkin girl → Munchkinmädchen | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Good Witch → Guten Hexe (note: appears in German with feminine article implied; in English 'Good Witch’s kiss' = 'Kußabzeichen der Guten Hexe') | winged fairy → geflügelte Elfe (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation) | Good Witch of the North → Gute Hexe des Nordens | Quadlings → Quadlinge,
543,"All the other animals in the forest naturally expect me to be brave, for the Lion is everywhere thought to be the King of Beasts.","Alle anderen Tiere im Wald erwarten natürlich, dass ich tapfer bin, denn der Löwe gilt überall als der König der Tiere.",TRUE,TRUE,TRUE,TRUE,,,TRUE,"king of beasts → König der Tiere | king of the forest → König des Waldes | Lion → Löwe | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | King of the Monkeys → König der Affen | wild beast → wildes Tier | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | Beast → Bestie (note: When capitalized, refers to the shape Oz took on himself)",
544,I learned that if I roared very loudly every living thing was frightened and got out of my way.,"Ich lernte, dass, wenn ich sehr laut brüllte, jedes Lebewesen Angst bekam und mir aus dem Weg ging.",TRUE,TRUE,TRUE,TRUE,,,TRUE,roar → brüllen | king of beasts → König der Tiere | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | growl → Knurren | king of the forest → König des Waldes | wild beast → wildes Tier | Lion → Löwe | terrible Beast → schreckliches Biest,
545,"Whenever I’ve met a man I’ve been awfully scared; but I just roared at him, and he has always run away as fast as he could go.","Immer wenn ich einem Mann begegnet bin, hatte ich furchtbare Angst, aber ich habe ihn einfach angebrüllt, und er ist immer so schnell er konnte weggelaufen.",FALSE,TRUE,TRUE,FALSE,"Immer wenn ich einem Mann begegnet bin, hatte ich furchtbare Angst; aber ich habe ihn einfach angebrüllt, und er ist immer so schnell er konnte weggelaufen.",,FALSE,Cowardly Lion ⭢ Feige Löwe (adjective) (note: title/capition uses adjective before noun) | roar ⭢ brüllen | king of beasts ⭢ König der Tiere | blood-curdling incidents ⭢ grauenerregenden Ereignissen | Scarecrow ⭢ Vogelscheuche | growl ⭢ Knurren | Lion ⭢ Löwe | terrible Beast ⭢ schreckliches Biest,
546,"If the elephants and the tigers and the bears had ever tried to fight me, I should have run myself—I’m such a coward; but just as soon as they hear me roar they all try to get away from me, and of course I let them go.”","Wenn die Elefanten, die Tiger und die Bären jemals versucht hätten, gegen mich zu kämpfen, wäre ich selbst geflohen - ich bin so ein Feigling; aber sobald sie mich brüllen hören, versuchen sie alle, von mir wegzukommen, und natürlich lasse ich sie laufen.""",FALSE,TRUE,TRUE,FALSE,"Wenn die Elefanten, die Tiger und die Bären jemals versucht hätten, gegen mich zu kämpfen, wäre ich selbst geflohen – ich bin so ein Feiger Löwe; aber sobald sie mich brüllen hören, versuchen sie alle, von mir wegzukommen, und natürlich lasse ich sie laufen.",,FALSE,Cowardly Lion ⭢ Feige Löwe (adjective) (note: title/capition uses adjective before noun) | king of beasts ⭢ König der Tiere | king of the forest ⭢ König des Waldes | tiger ⭢ Tiger | roar ⭢ brüllen | Lion ⭢ Löwe | wild beast ⭢ wildes Tier | elephant ⭢ Elefant,
547,“But that isn’t right.,"""Aber das ist nicht richtig.",TRUE,TRUE,TRUE,TRUE,,,TRUE,moral → Moral (note: Used as 'Moralität' later; both forms appear) | Glinda → Glinda | morality → Moralität | Boq → Boq | hat → Hut | broken → zerbrochen | fairy → Feen | Aunt Em → Tante Em,
548,"The King of Beasts shouldn’t be a coward,” said the Scarecrow.","Der König der Bestien sollte kein Feigling sein"", sagte die Vogelscheuche.",FALSE,TRUE,TRUE,FALSE,"„Der König der Tiere sollte kein Feigling sein“, sagte die Vogelscheuche.","„Der König der Tiere sollte kein Feigling sein“, sagte die Vogelscheuche.",TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | king of beasts → König der Tiere | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | king of the forest → König des Waldes | Scarecrow → Vogelscheuche | Lion → Löwe | King of the Monkeys → König der Affen | Great Oz → großen Oz,"1. term: ""king of beasts"" → preferred: ""König der Tiere"" (part of speech: noun)"
549,"“I know it,” returned the Lion, wiping a tear from his eye with the tip of his tail.","""Ich weiß es"", erwiderte der Löwe und wischte sich mit der Schwanzspitze eine Träne aus dem Auge.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Lion → Löwe | king of beasts → König der Tiere | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | roar → brüllen | Great Oz → großen Oz | king of the forest → König des Waldes | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name),
550,"“It is my great sorrow, and makes my life very unhappy.","""Das ist mein großer Kummer und macht mein Leben sehr unglücklich.",TRUE,TRUE,TRUE,TRUE,,,TRUE,heartaches → Herzbeklemmungen | Great and Terrible → Große und Schreckliche | Uncle Henry → Onkel Henry | Aunt Em → Tante Em | wail → Heulen (note: 'a low wail of the wind' -> 'leises Heulen' in German) | blood-curdling incidents → grauenerregenden Ereignissen | terrible Beast → schreckliches Biest | childhood → Kindheit,
551,"But whenever there is danger, my heart begins to beat fast.”","Aber immer wenn Gefahr droht, beginnt mein Herz schnell zu schlagen.""",TRUE,TRUE,TRUE,TRUE,,,TRUE,heart → Herz | blood-curdling incidents → grauenerregenden Ereignissen | heartaches → Herzbeklemmungen | courage → Mut | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | Great and Terrible → Große und Schreckliche | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | roar → brüllen,
